trial_id,trial_type,input_state,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_rep,M_Z_rep,M_X_rec,M_Z_rec,M_correct_before,M_correct_after,fidelity_before,fidelity_after,bell_outcome,verification_pass,p_phi_plus,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,sweep_noise
66,regular,psi,"[2, 8]","{2: 'withhold', 8: 'equivocate'}",0,1,1,"[2, 8]",2,0,"[1, 1, 1, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 1, 1, 1, 0, 0, 0]","[1, 0, 1, 1, 1, 0, 0, 1]",1,0,0,0,1,0,0,1,0.4624187027168051,0.9186053078885591,,,,0.01,8,2,False,False,0.01
67,verification,verification,"[4, 8]","{4: 'withhold', 8: 'coherent_flip'}",1,0,1,[4],1,1,"[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 1]","[1, 0, 1, 0, 0, 0, 0, 1]",0,1,1,1,1,1,0,0,,,Psi+,False,0.026165407854041332,0.01,8,2,False,False,0.01
68,regular,zero,"[2, 3]","{2: 'equivocate', 3: 'coherent_flip'}",1,1,0,[2],1,1,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0]","[1, 0, 1, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 0, 0, 1, 0]",1,0,0,1,1,1,0,0,0.047808899763093896,0.9521911002369061,,,,0.01,8,2,True,False,0.01
69,regular,psi,"[1, 2]","{1: 'coherent_flip', 2: 'withhold'}",1,0,1,[2],1,1,"[0, 1, 1, 1, 0, 0, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 0, 1, 0]",0,1,0,0,0,0,0,0,0.307490193345472,0.307490193345472,,,,0.01,8,2,False,False,0.01
70,regular,psi,"[2, 8]","{2: 'equivocate', 8: 'equivocate'}",0,2,0,"[2, 8]",2,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0]",0,0,0,0,0,0,1,1,0.9186052714309836,0.9186052714309836,,,,0.01,8,2,False,False,0.01
71,regular,psi,"[4, 7]","{7: 'equivocate', 4: 'coherent_flip'}",1,1,0,[7],1,1,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 0]","[1, 0, 1, 0, 1, 1, 1, 0]","[1, 0, 1, 0, 1, 1, 0, 0]",0,0,1,1,1,0,0,0,0.31148578190709725,0.4624186825194063,,,,0.01,8,2,False,False,0.01
72,regular,psi,"[3, 7]","{3: 'coherent_flip', 7: 'withhold'}",1,0,1,[7],1,1,"[0, 1, 1, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0]",0,0,0,1,0,1,0,0,0.307490244352715,0.307490244352715,,,,0.01,8,2,False,False,0.01
73,regular,psi,"[1, 3]","{1: 'coherent_flip', 3: 'withhold'}",1,0,1,[3],1,1,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 0]","[0, 1, 0, 1, 0, 0, 1, 0]","[0, 1, 0, 1, 0, 0, 1, 0]",1,1,1,0,1,0,0,0,0.30749019741702316,0.30749019741702316,,,,0.01,8,2,False,False,0.01
74,regular,psi,"[1, 6]","{6: 'withhold', 1: 'equivocate'}",0,1,1,"[1, 6]",2,0,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 1, 0, 0, 1, 0]",1,0,1,1,1,0,0,1,0.3074902094722887,0.9186053477405408,,,,0.01,8,2,False,False,0.01
75,regular,psi,"[5, 8]","{5: 'equivocate', 8: 'withhold'}",0,1,1,"[5, 8]",2,0,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1]","[1, 0, 0, 1, 0, 1, 1, 1]","[1, 0, 0, 1, 1, 1, 1, 1]",1,1,1,0,1,1,0,1,0.30749020775894703,0.9186053278145495,,,,0.01,8,2,False,False,0.01
