trial_id,trial_type,input_state,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_rep,M_Z_rep,M_X_rec,M_Z_rec,M_correct_before,M_correct_after,fidelity_before,fidelity_after,bell_outcome,verification_pass,p_phi_plus,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,sweep_f
102,regular,psi,[5],{5: 'coherent_flip'},1,0,0,[],0,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0]",1,0,1,1,1,1,0,0,0.30749025597952373,0.30749025597952373,,,,0.01,8,1,False,False,1
103,regular,psi,[1],{1: 'coherent_flip'},1,0,0,[],0,1,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1]","[1, 0, 1, 1, 0, 1, 1, 1]","[1, 0, 1, 1, 0, 1, 1, 1]",1,0,1,1,1,1,0,0,0.30749024995189095,0.30749024995189095,,,,0.01,8,1,False,False,1
104,regular,psi,[2],{2: 'equivocate'},0,1,0,[2],1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",0,1,1,1,0,1,0,1,0.4624186592657895,0.9186052929341241,,,,0.01,8,1,False,False,1
105,regular,psi,[5],{5: 'coherent_flip'},1,0,0,[],0,1,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0]",0,1,0,0,0,0,0,0,0.3074901961321386,0.3074901961321386,,,,0.01,8,1,False,False,1
106,regular,psi,[5],{5: 'coherent_flip'},1,0,0,[],0,1,"[0, 1, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 1, 1, 0, 1, 0, 0]","[0, 0, 1, 1, 0, 1, 0, 0]",1,0,1,1,1,1,0,0,0.30749022057802544,0.30749022057802544,,,,0.01,8,1,False,False,1
107,regular,psi,[6],{6: 'equivocate'},0,1,0,[6],1,0,"[1, 1, 0, 1, 0, 0, 0, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 1, 1]","[0, 1, 0, 0, 0, 1, 1, 1]",0,0,1,0,0,0,0,1,0.46241872045605026,0.9186053826209672,,,,0.01,8,1,False,False,1
108,regular,psi,[7],{7: 'coherent_flip'},1,0,0,[],0,1,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 1, 0]",1,0,1,1,1,1,0,0,0.3074902266982735,0.3074902266982735,,,,0.01,8,1,False,False,1
109,regular,psi,[8],{8: 'equivocate'},0,1,0,[8],1,0,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 1, 1]","[0, 0, 0, 0, 1, 0, 1, 0]",1,0,0,0,1,0,0,1,0.462418679463189,0.918605284634943,,,,0.01,8,1,False,False,1
110,regular,psi,[6],{6: 'withhold'},0,0,1,[6],1,0,"[0, 0, 1, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 1, 0]",1,1,1,1,1,1,1,1,0.9186053278145495,0.9186053278145495,,,,0.01,8,1,False,False,1
111,regular,psi,[4],{4: 'withhold'},0,0,1,[4],1,0,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 0]","[1, 0, 1, 1, 0, 1, 0, 0]","[1, 0, 1, 1, 0, 1, 0, 0]",1,0,1,0,1,0,1,1,0.9186053128601146,0.9186053128601146,,,,0.01,8,1,False,False,1
