trial_id,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_reported,M_Z_reported,M_X_recovered,M_Z_recovered,M_correct_before,M_correct_after,fidelity_before,fidelity_after,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,input_state,sweep_noise
3,"[6, 8]","{8: 'coherent_flip', 6: 'equivocate'}",1,1,0,[6],1,1,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 1, 1]",0,0,0,0,1,0,1,0,0.826415310456255,0.4787136956552874,0.01,8,2,False,False,psi,0.01
4,"[2, 6]","{2: 'withhold', 6: 'equivocate'}",0,1,1,"[2, 6]",2,0,"[0, 1, 0, 0, 0, 1, 1, 1, 1, 0]","[0, 0, 0, 1, 1, 0, 1, 0]","[0, 0, 0, 1, 1, 1, 1, 0]",1,0,0,0,1,0,0,1,0.47871369565528726,0.826415310456255,0.01,8,2,False,False,psi,0.01
5,"[2, 3]","{3: 'withhold', 2: 'equivocate'}",0,1,1,"[2, 3]",2,0,"[1, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 0, 0, 1, 1]",1,0,0,0,1,0,0,1,0.4787136956552873,0.8264153104562552,0.01,8,2,False,False,psi,0.01
6,"[1, 2]","{2: 'withhold', 1: 'withhold'}",0,0,2,"[1, 2]",2,0,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 0]",1,0,1,0,1,0,1,1,0.826415310456255,0.826415310456255,0.01,8,2,False,False,psi,0.01
7,"[1, 5]","{1: 'equivocate', 5: 'withhold'}",0,1,1,"[1, 5]",2,0,"[1, 0, 1, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 0, 1, 0, 1, 1, 1]","[1, 1, 0, 1, 0, 1, 1, 1]",1,1,0,0,0,1,0,0,0.3402260605657733,0.4787136956552872,0.01,8,2,False,False,psi,0.01
8,"[2, 6]","{6: 'equivocate', 2: 'withhold'}",0,1,1,"[2, 6]",2,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]","[0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0]",0,1,0,1,1,1,1,0,0.8264153104562553,0.47871369565528726,0.01,8,2,False,False,psi,0.01
9,"[6, 8]","{6: 'coherent_flip', 8: 'equivocate'}",1,1,0,[8],1,1,"[1, 0, 0, 1, 0, 1, 1, 1, 1, 1]","[0, 1, 0, 1, 1, 0, 1, 0]","[0, 1, 0, 1, 1, 0, 1, 1]",0,1,0,1,1,1,1,0,0.8264153104562553,0.47871369565528726,0.01,8,2,False,False,psi,0.01
10,"[2, 6]","{6: 'coherent_flip', 2: 'coherent_flip'}",2,0,0,[],0,2,"[0, 0, 1, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 0, 1]","[1, 1, 1, 0, 1, 0, 0, 1]",0,1,0,1,0,1,1,1,0.826415310456255,0.826415310456255,0.01,8,2,False,False,psi,0.01
11,"[3, 7]","{7: 'equivocate', 3: 'withhold'}",0,1,1,"[3, 7]",2,0,"[0, 1, 1, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 0, 1, 0, 0, 0, 1]","[1, 1, 0, 1, 0, 0, 1, 1]",0,0,0,1,0,0,0,1,0.35464493332268454,0.8264153104562552,0.01,8,2,False,False,psi,0.01
12,"[1, 8]","{8: 'coherent_flip', 1: 'withhold'}",1,0,1,[1],1,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]",1,1,0,1,0,1,0,0,0.4787136956552873,0.4787136956552873,0.01,8,2,False,False,psi,0.01
13,"[3, 5]","{3: 'coherent_flip', 5: 'equivocate'}",1,1,0,[5],1,1,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 0, 0]",0,1,0,1,0,0,1,0,0.8264153104562553,0.3546449333226845,0.01,8,2,False,False,psi,0.01
14,"[5, 7]","{7: 'withhold', 5: 'coherent_flip'}",1,0,1,[7],1,1,"[1, 1, 0, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 1, 1, 1, 1, 0, 1]","[0, 1, 1, 1, 1, 1, 0, 1]",1,0,1,1,1,1,0,0,0.3546449333226845,0.3546449333226845,0.01,8,2,False,False,psi,0.01
15,"[4, 7]","{7: 'coherent_flip', 4: 'withhold'}",1,0,1,[4],1,1,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[1, 1, 0, 1, 0, 1, 1, 1]","[1, 1, 0, 1, 0, 1, 1, 1]",0,1,0,1,0,1,1,1,0.8264153104562553,0.8264153104562553,0.01,8,2,False,False,psi,0.01
16,"[2, 7]","{7: 'equivocate', 2: 'withhold'}",0,1,1,"[2, 7]",2,0,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 1]","[1, 0, 0, 0, 1, 0, 1, 1]","[1, 0, 0, 0, 1, 0, 0, 1]",1,1,0,0,0,1,0,0,0.3402260605657733,0.47871369565528726,0.01,8,2,False,False,psi,0.01
17,"[1, 6]","{1: 'equivocate', 6: 'equivocate'}",0,2,0,"[1, 6]",2,0,"[1, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[1, 1, 0, 0, 1, 0, 1, 0]","[0, 1, 0, 0, 1, 1, 1, 0]",0,1,1,0,0,1,0,1,0.3402260605657733,0.8264153104562553,0.01,8,2,False,False,psi,0.01
18,"[4, 5]","{4: 'equivocate', 5: 'equivocate'}",0,2,0,"[4, 5]",2,0,"[1, 1, 0, 0, 1, 0, 1, 1, 0, 1]","[0, 0, 1, 1, 0, 1, 0, 1]","[0, 0, 1, 0, 1, 1, 0, 1]",1,1,0,0,1,1,0,1,0.3402260605657732,0.8264153104562553,0.01,8,2,False,False,psi,0.01
