trial_id,byzantine_nodes,byzantine_strategies,n_coherent_flip,n_equivocate,n_withhold,detected_nodes,n_detected,n_undetected_byz,true_all_outcomes,reported_ctrl,recovered_ctrl,M_X_true,M_Z_true,M_X_reported,M_Z_reported,M_X_recovered,M_Z_recovered,M_correct_before,M_correct_after,fidelity_before,fidelity_after,noise_level,n_controllers,max_byzantine,is_trap,trap_detected,input_state,sweep_f
12,[2],{2: 'coherent_flip'},1,0,0,[],0,1,"[1, 0, 1, 1, 1, 1, 0, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 1]",1,0,0,0,0,0,0,0,0.47871369565528726,0.47871369565528726,0.01,8,1,False,False,psi,1
13,[3],{3: 'withhold'},0,0,1,[3],1,0,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 0, 1, 0, 0, 0]",0,0,0,0,0,0,1,1,0.826415310456255,0.826415310456255,0.01,8,1,False,False,psi,1
14,[4],{4: 'withhold'},0,0,1,[4],1,0,"[1, 1, 0, 1, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0, 1]",1,1,1,1,1,1,1,1,0.8264153104562553,0.8264153104562553,0.01,8,1,False,False,psi,1
15,[4],{4: 'withhold'},0,0,1,[4],1,0,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 0, 0, 0, 0]",1,1,1,1,1,1,1,1,0.8264153104562552,0.8264153104562552,0.01,8,1,False,False,psi,1
16,[7],{7: 'withhold'},0,0,1,[7],1,0,"[1, 1, 1, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 0, 0]",1,0,1,0,1,0,1,1,0.8264153104562553,0.8264153104562553,0.01,8,1,False,False,psi,1
17,[1],{1: 'coherent_flip'},1,0,0,[],0,1,"[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0]",0,1,0,0,0,0,0,0,0.35464493332268465,0.35464493332268465,0.01,8,1,False,False,psi,1
18,[3],{3: 'coherent_flip'},1,0,0,[],0,1,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 1, 1, 0, 1, 1, 0]","[0, 1, 1, 1, 0, 1, 1, 0]",0,1,0,0,0,0,0,0,0.3546449333226845,0.3546449333226845,0.01,8,1,False,False,psi,1
19,[3],{3: 'equivocate'},0,1,0,[3],1,0,"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 0, 1, 0, 1]",0,1,0,0,0,1,0,1,0.35464493332268443,0.8264153104562553,0.01,8,1,False,False,psi,1
0,"[2, 3]","{2: 'coherent_flip', 3: 'equivocate'}",1,1,0,[3],1,1,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0]",0,1,1,0,1,1,0,0,0.34022606056577326,0.47871369565528726,0.01,8,2,False,False,psi,2
1,"[6, 7]","{7: 'withhold', 6: 'coherent_flip'}",1,0,1,[7],1,1,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[0, 1, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0, 0]",0,1,1,0,1,0,0,0,0.34022606056577337,0.34022606056577337,0.01,8,2,False,False,psi,2
2,"[1, 5]","{1: 'withhold', 5: 'coherent_flip'}",1,0,1,[1],1,1,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 0, 1]",1,1,1,0,1,0,0,0,0.3546449333226845,0.3546449333226845,0.01,8,2,False,False,psi,2
3,"[1, 2]","{1: 'coherent_flip', 2: 'coherent_flip'}",2,0,0,[],0,2,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 0, 1]",1,0,0,1,0,1,0,0,0.34022606056577337,0.34022606056577337,0.01,8,2,False,False,psi,2
4,"[3, 5]","{3: 'coherent_flip', 5: 'coherent_flip'}",2,0,0,[],0,2,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0]","[0, 1, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 1, 0, 0]",0,0,0,0,0,0,1,1,0.826415310456255,0.826415310456255,0.01,8,2,False,False,psi,2
5,"[2, 7]","{7: 'withhold', 2: 'withhold'}",0,0,2,"[2, 7]",2,0,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 0]","[0, 1, 0, 0, 1, 1, 1, 0]","[0, 1, 0, 0, 1, 1, 1, 0]",1,0,1,0,1,0,1,1,0.826415310456255,0.826415310456255,0.01,8,2,False,False,psi,2
6,"[1, 8]","{8: 'equivocate', 1: 'coherent_flip'}",1,1,0,[8],1,1,"[1, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 1, 0, 1, 1, 1, 1, 0]","[0, 1, 0, 1, 1, 1, 1, 1]",0,0,1,1,0,1,0,0,0.3402260605657733,0.3546449333226845,0.01,8,2,False,False,psi,2
7,"[1, 8]","{8: 'withhold', 1: 'equivocate'}",0,1,1,"[1, 8]",2,0,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1]","[1, 0, 1, 1, 0, 1, 1, 1]","[0, 0, 1, 1, 0, 1, 1, 1]",1,1,1,1,1,0,1,0,0.826415310456255,0.35464493332268454,0.01,8,2,False,False,psi,2
8,"[1, 3]","{1: 'coherent_flip', 3: 'equivocate'}",1,1,0,[3],1,1,"[0, 1, 1, 1, 1, 1, 0, 1, 0, 0]","[0, 1, 0, 1, 0, 1, 0, 0]","[0, 1, 1, 1, 0, 1, 0, 0]",0,0,0,0,0,1,1,0,0.826415310456255,0.3546449333226846,0.01,8,2,False,False,psi,2
9,"[5, 6]","{6: 'coherent_flip', 5: 'coherent_flip'}",2,0,0,[],0,2,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 1, 0, 0, 1]",1,1,0,0,0,0,0,0,0.1305269997368851,0.1305269997368851,0.01,8,2,True,True,zero,2
10,"[4, 5]","{4: 'coherent_flip', 5: 'equivocate'}",1,1,0,[5],1,1,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 1, 1, 0, 0]",1,1,0,0,0,1,0,0,0.3402260605657732,0.47871369565528704,0.01,8,2,False,False,psi,2
11,"[1, 4]","{1: 'withhold', 4: 'coherent_flip'}",1,0,1,[1],1,1,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]",0,1,1,1,1,1,0,0,0.47871369565528726,0.47871369565528726,0.01,8,2,False,False,psi,2
12,"[2, 8]","{2: 'equivocate', 8: 'coherent_flip'}",1,1,0,[2],1,1,"[0, 0, 1, 1, 1, 0, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]",1,0,0,0,1,0,0,1,0.47871369565528726,0.826415310456255,0.01,8,2,False,False,psi,2
13,"[2, 3]","{2: 'coherent_flip', 3: 'equivocate'}",1,1,0,[3],1,1,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[1, 1, 0, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0]",0,0,1,1,1,0,0,0,0.34022606056577326,0.47871369565528726,0.01,8,2,False,False,psi,2
14,"[5, 6]","{6: 'equivocate', 5: 'equivocate'}",0,2,0,"[5, 6]",2,0,"[1, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 0, 0, 1, 0, 1, 1]","[1, 1, 0, 0, 0, 1, 1, 1]",1,0,1,0,0,1,1,0,0.8264153104562552,0.34022606056577326,0.01,8,2,False,False,psi,2
15,"[2, 8]","{8: 'coherent_flip', 2: 'withhold'}",1,0,1,[2],1,1,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 1, 0, 0, 1, 1, 0]",1,1,0,0,0,0,0,0,0.34022606056577337,0.34022606056577337,0.01,8,2,False,False,psi,2
16,"[2, 3]","{2: 'equivocate', 3: 'equivocate'}",0,2,0,"[2, 3]",2,0,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 1]",0,0,1,1,0,0,0,1,0.3402260605657734,0.8264153104562549,0.01,8,2,False,False,psi,2
17,"[3, 5]","{5: 'withhold', 3: 'coherent_flip'}",1,0,1,[5],1,1,"[0, 0, 0, 1, 0, 1, 0, 1, 1, 1]","[0, 1, 1, 1, 0, 1, 1, 1]","[0, 1, 1, 1, 0, 1, 1, 1]",0,1,0,0,0,0,0,0,0.35464493332268443,0.35464493332268443,0.01,8,2,False,False,psi,2
18,"[2, 4]","{2: 'withhold', 4: 'withhold'}",0,0,2,"[2, 4]",2,0,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 0]","[0, 1, 1, 0, 1, 1, 0, 0]","[0, 1, 1, 0, 1, 1, 0, 0]",1,1,1,1,1,1,1,1,0.8264153104562553,0.8264153104562553,0.01,8,2,False,False,psi,2
19,"[3, 6]","{3: 'withhold', 6: 'coherent_flip'}",1,0,1,[3],1,1,"[0, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0]",0,1,1,1,1,1,0,0,0.4787136956552872,0.4787136956552872,0.01,8,2,False,False,psi,2
